State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price,Commodity_Code,Date,Arrival Quantity
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,14/10/2015,4100,4300,4200,15,2015-10-14,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,14/10/2015,4551,4551,4551,15,2015-10-14,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,17/10/2015,4551,4551,4551,15,2015-10-17,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,21/10/2015,4200,4500,4300,15,2015-10-21,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,22/10/2015,4351,4351,4351,15,2015-10-22,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,26/10/2015,4375,4409,4409,15,2015-10-26,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,27/10/2015,4291,4375,4350,15,2015-10-27,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,27/10/2015,4325,4411,4400,15,2015-10-27,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,28/10/2015,4400,4450,4425,15,2015-10-28,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,28/10/2015,4300,4400,4350,15,2015-10-28,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,29/10/2015,4250,4250,4250,15,2015-10-29,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,29/10/2015,4250,4337,4337,15,2015-10-29,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,30/10/2015,4225,4330,4300,15,2015-10-30,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,30/10/2015,4150,4250,4200,15,2015-10-30,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,31/10/2015,4100,4150,4150,15,2015-10-31,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,01/11/2015,4100,4250,4200,15,2015-11-01,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,02/11/2015,4171,4335,4225,15,2015-11-02,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,02/11/2015,4100,4250,4200,15,2015-11-02,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,02/11/2015,4100,4100,4100,15,2015-11-02,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,03/11/2015,4150,4225,4200,15,2015-11-03,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,04/11/2015,4200,4300,4250,15,2015-11-04,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,05/11/2015,4130,4171,4150,15,2015-11-05,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,05/11/2015,4100,4175,4150,15,2015-11-05,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,06/11/2015,4100,4150,4100,15,2015-11-06,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,06/11/2015,4150,4200,4200,15,2015-11-06,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,06/11/2015,4100,4250,4200,15,2015-11-06,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,07/11/2015,4107,4135,4135,15,2015-11-07,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,11/11/2015,4100,4300,4200,15,2015-11-11,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,12/11/2015,4100,4125,4125,15,2015-11-12,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,17/11/2015,4120,4150,4140,15,2015-11-17,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,18/11/2015,4150,4300,4200,15,2015-11-18,100
